char_code,dt,nominal,name,value,num_code
AMD,2018-03-21,100,Армянских драмов,12.009,051
AUD,2018-03-21,1,Австралийский доллар,44.4373,036
AZN,2018-03-21,1,Азербайджанский манат,33.8933,944
BGN,2018-03-21,1,Болгарский лев,36.4059,975
BRL,2018-03-21,1,Бразильский реал,17.562,986
BYN,2018-03-21,1,Белорусский рубль,29.3955,933
CAD,2018-03-21,1,Канадский доллар,44.1562,124
CHF,2018-03-21,1,Швейцарский франк,60.6446,756
CNY,2018-03-21,10,Китайских юаней,91.1585,156
CZK,2018-03-21,10,Чешских крон,28.0025,203
DKK,2018-03-21,10,Датских крон,95.5954,208
EUR,2018-03-21,1,Евро,71.2347,978
GBP,2018-03-21,1,Фунт стерлингов Соединенного королевства,81.0847,826
HKD,2018-03-21,10,Гонконгских долларов,73.5589,344
HUF,2018-03-21,100,Венгерских форинтов,22.8954,348
INR,2018-03-21,100,Индийских рупий,88.5224,356
JPY,2018-03-21,100,Японских иен,54.2146,392
KGS,2018-03-21,100,Киргизских сомов,84.516,417
KRW,2018-03-21,1000,Вон Республики Корея,53.9359,410
KZT,2018-03-21,100,Казахстанских тенге,17.9901,398
MDL,2018-03-21,10,Молдавских леев,34.866,498
NOK,2018-03-21,10,Норвежских крон,74.9218,578
PLN,2018-03-21,1,Польский злотый,16.862,985
RON,2018-03-21,1,Румынский лей,15.2509,946
SEK,2018-03-21,10,Шведских крон,70.6386,752
SGD,2018-03-21,1,Сингапурский доллар,43.8375,702
TJS,2018-03-21,10,Таджикских сомони,65.3906,972
TMT,2018-03-21,1,Новый туркменский манат,16.5098,934
TRY,2018-03-21,1,Турецкая лира,14.6436,949
UAH,2018-03-21,10,Украинских гривен,21.9529,980
USD,2018-03-21,1,Доллар США,57.7033,840
UZS,2018-03-21,10000,Узбекских сумов,70.8881,860
XDR,2018-03-21,1,СДР (специальные права заимствования),83.7696,960
ZAR,2018-03-21,10,Южноафриканских рэндов,48.0544,710
AMD,2018-03-22,100,Армянских драмов,11.9807,051
AUD,2018-03-22,1,Австралийский доллар,44.2485,036
AZN,2018-03-22,1,Азербайджанский манат,33.7712,944
BGN,2018-03-22,1,Болгарский лев,36.1129,975
BRL,2018-03-22,1,Бразильский реал,17.3597,986
BYN,2018-03-22,1,Белорусский рубль,29.3045,933
CAD,2018-03-22,1,Канадский доллар,44.0983,124
CHF,2018-03-22,1,Швейцарский франк,60.3373,756
CNY,2018-03-22,10,Китайских юаней,90.8128,156
CZK,2018-03-22,10,Чешских крон,27.7769,203
DKK,2018-03-22,10,Датских крон,94.8174,208
EUR,2018-03-22,1,Евро,70.5699,978
GBP,2018-03-22,1,Фунт стерлингов Соединенного королевства,80.7178,826
HKD,2018-03-22,10,Гонконгских долларов,73.279,344
HUF,2018-03-22,100,Венгерских форинтов,22.6721,348
INR,2018-03-22,100,Индийских рупий,88.1561,356
JPY,2018-03-22,100,Японских иен,54.0853,392
KGS,2018-03-22,100,Киргизских сомов,84.1834,417
KRW,2018-03-22,1000,Вон Республики Корея,53.6123,410
KZT,2018-03-22,100,Казахстанских тенге,17.9197,398
MDL,2018-03-22,10,Молдавских леев,34.7299,498
NOK,2018-03-22,10,Норвежских крон,74.3844,578
PLN,2018-03-22,1,Польский злотый,16.6837,985
RON,2018-03-22,1,Румынский лей,15.1324,946
SEK,2018-03-22,10,Шведских крон,70.0659,752
SGD,2018-03-22,1,Сингапурский доллар,43.6133,702
TJS,2018-03-22,10,Таджикских сомони,65.1351,972
TMT,2018-03-22,1,Новый туркменский манат,16.4503,934
TRY,2018-03-22,1,Турецкая лира,14.628,949
UAH,2018-03-22,10,Украинских гривен,21.8738,980
USD,2018-03-22,1,Доллар США,57.4954,840
UZS,2018-03-22,10000,Узбекских сумов,70.6327,860
XDR,2018-03-22,1,СДР (специальные права заимствования),83.4195,960
ZAR,2018-03-22,10,Южноафриканских рэндов,48.0462,710
AMD,2018-03-23,100,Армянских драмов,11.8292,051
AUD,2018-03-23,1,Австралийский доллар,44.1185,036
AZN,2018-03-23,1,Азербайджанский манат,33.3857,944
BGN,2018-03-23,1,Болгарский лев,35.9491,975
BRL,2018-03-23,1,Бразильский реал,17.3608,986
BYN,2018-03-23,1,Белорусский рубль,29.1782,933
CAD,2018-03-23,1,Канадский доллар,44.1263,124
CHF,2018-03-23,1,Швейцарский франк,60.0328,756
CNY,2018-03-23,10,Китайских юаней,89.9111,156
CZK,2018-03-23,10,Чешских крон,27.6818,203
DKK,2018-03-23,10,Датских крон,94.3826,208
EUR,2018-03-23,1,Евро,70.31,978
GBP,2018-03-23,1,Фунт стерлингов Соединенного королевства,80.524,826
HKD,2018-03-23,10,Гонконгских долларов,72.4388,344
HUF,2018-03-23,100,Венгерских форинтов,22.5606,348
INR,2018-03-23,100,Индийских рупий,87.3708,356
JPY,2018-03-23,100,Японских иен,53.7664,392
KGS,2018-03-23,100,Киргизских сомов,83.2234,417
KRW,2018-03-23,1000,Вон Республики Корея,52.9983,410
KZT,2018-03-23,100,Казахстанских тенге,17.7152,398
MDL,2018-03-23,10,Молдавских леев,34.3646,498
NOK,2018-03-23,10,Норвежских крон,73.9418,578
PLN,2018-03-23,1,Польский злотый,16.6401,985
RON,2018-03-23,1,Румынский лей,15.0675,946
SEK,2018-03-23,10,Шведских крон,69.5645,752
SGD,2018-03-23,1,Сингапурский доллар,43.306,702
TJS,2018-03-23,10,Таджикских сомони,64.3989,972
TMT,2018-03-23,1,Новый туркменский манат,16.263,934
TRY,2018-03-23,1,Турецкая лира,14.5611,949
UAH,2018-03-23,10,Украинских гривен,21.6118,980
USD,2018-03-23,1,Доллар США,56.8391,840
UZS,2018-03-23,10000,Узбекских сумов,69.8265,860
XDR,2018-03-23,1,СДР (специальные права заимствования),82.4593,960
ZAR,2018-03-23,10,Южноафриканских рэндов,48.2309,710
AMD,2018-03-24,100,Армянских драмов,11.8874,051
AUD,2018-03-24,1,Австралийский доллар,44.1039,036
AZN,2018-03-24,1,Азербайджанский манат,33.5431,944
BGN,2018-03-24,1,Болгарский лев,36.0048,975
BRL,2018-03-24,1,Бразильский реал,17.2243,986
BYN,2018-03-24,1,Белорусский рубль,29.3384,933
CAD,2018-03-24,1,Канадский доллар,44.2589,124
CHF,2018-03-24,1,Швейцарский франк,60.3224,756
